[15:16:06.331] 16 iterations per epoch
[15:16:09.850] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:17:53.010] 16 iterations per epoch
[15:17:56.548] iteration 1 : loss : 1.527668, loss_ce: 2.203704, loss_dice: 0.851633, loss_cons: 0.011217
[15:19:31.423] 16 iterations per epoch
[15:21:40.881] iteration 162 : total loss : 0.306555, loss_ce: 0.237135, loss_dice: 0.375975, loss_cons: 0.014117 , con_weight: 0.000000
[15:21:41.835] iteration 163 : total loss : 0.376315, loss_ce: 0.327587, loss_dice: 0.425043, loss_cons: 0.013640 , con_weight: 0.000000
[15:21:42.651] iteration 164 : total loss : 0.301437, loss_ce: 0.218873, loss_dice: 0.384001, loss_cons: 0.011868 , con_weight: 0.000000
[15:21:43.382] iteration 165 : total loss : 0.347253, loss_ce: 0.284536, loss_dice: 0.409969, loss_cons: 0.011199 , con_weight: 0.000000
[15:21:44.136] iteration 166 : total loss : 0.362119, loss_ce: 0.327262, loss_dice: 0.396976, loss_cons: 0.009701 , con_weight: 0.000000
[15:21:45.242] iteration 167 : total loss : 0.309371, loss_ce: 0.207939, loss_dice: 0.410804, loss_cons: 0.010870 , con_weight: 0.000000
[15:21:46.115] iteration 168 : total loss : 0.290538, loss_ce: 0.199394, loss_dice: 0.381683, loss_cons: 0.010290 , con_weight: 0.000000
[15:21:46.728] iteration 169 : total loss : 0.297275, loss_ce: 0.184898, loss_dice: 0.409652, loss_cons: 0.009215 , con_weight: 0.000000
[15:21:47.424] iteration 170 : total loss : 0.353090, loss_ce: 0.293002, loss_dice: 0.413178, loss_cons: 0.007601 , con_weight: 0.000000
[15:21:48.051] iteration 171 : total loss : 0.295540, loss_ce: 0.219293, loss_dice: 0.371787, loss_cons: 0.007008 , con_weight: 0.000000
[15:21:48.678] iteration 172 : total loss : 0.350483, loss_ce: 0.282714, loss_dice: 0.418251, loss_cons: 0.007895 , con_weight: 0.000000
[15:21:49.540] iteration 173 : total loss : 0.369146, loss_ce: 0.307429, loss_dice: 0.430862, loss_cons: 0.008356 , con_weight: 0.000000
[15:21:50.198] iteration 174 : total loss : 0.304041, loss_ce: 0.244497, loss_dice: 0.363585, loss_cons: 0.009013 , con_weight: 0.000000
